AK,58.033,-136.017,HOT SPRINGS NORTH END TENAKEE INLET,180,,,,,,,
AK,51.970,-176.610,HOT SPRINGS ON ADAK ISLAND,154,,,,,,,
AK,54.180,-165.410,HOT SPRINGS ON AKUN ISLAND, H,,,,,,,
AK,54.230,-165.660,HOT SPRINGS ON AKUN ISLAND, H,,,,,,,
AK,52.190,-174.250,HOT SPRINGS ON ATKA ISLAND,167,,,,,,,
AK,52.340,-174.260,HOT SPRINGS ON ATKA ISLAND, H,,,,,,,
AK,52.270,-174.042,HOT SPRINGS ON ATKA ISLAND, H,,,,,,,
AK,65.233,-144.483,HOT SPRINGS ON BIG WINDY CREEK, H,,,,,,,
AK,53.950,-168.037,HOT SPRINGS ON BOGOSLOF ISLAND, H,,,,,,,
AK,52.042,-176.108,HOT SPRINGS ON GREAT SITKIN ISLAND,210,,,,,,,
AK,66.233,-157.583,HOT SPRINGS ON HAWK RIVER,122,,,,,,,
AK,65.983,-150.560,HOT SPRINGS ON LOWER RAY RIVER,142,,,,,,,
AK,61.363,-157.733,HOT SPRINGS ON UPPER CHUILNUK RIVER,H,,,,,,,
AK,65.216,-149.993,HUTLINANA HOT SPRINGS,109,,,,,,,
AK,66.342,-150.850,KANUTI HOT SPRINGS,151,,,,,,,
AK,65.810,-151.237,KILO HOT SPRING,122,,,,,,,
AK,65.459,-153.312,LITTLE MELOZITNA HOT SPRINGS,176,,,,,,,
AK,53.892,-166.930,MAKUSHIN VOLCANO FUMAROLES,310,,,,,,,
AK,65.006,-150.633,MANLEY HOT SPRINGS,133,,,,,,,
AK,65.129,-154.692,MELOZI (MELOZITNA) SPRINGS,131,,,,,,,
AK,62.058,-145.222,MINERAL SPRING (LOWER KLAWASI CONE),82,,,,,,,
AK,57.644,-135.333,NYLEN HOT SPRINGS,120,,,,,,,
AK,69.330,-144.044,OKPILAK SPRINGS,119,,,,,,,
AK,65.093,-164.922,PILGRIM SPRINGS,178,,,,,,,
AK,65.970,-154.033,POCAHONTAS HOT SPRINGS, H,,,,,,,
AK,65.963,-150.919,RAY RIVER HOT SPRING,117,,,,,,,
AK,69.627,-146.027,RED HILL SPRING,91,,,,,,,
AK,67.283,-155.067,REED RIVER HOT SPRING,122,,,,,,,
AK,65.858,-164.710,SERPENTINE HOT SPRINGS,171,,,,,,,
AK,56.580,-132.180,SOUTH STIKINE SPRING, W,,,,,,,
AK,56.928,-158.120,SURPRISE LAKE HOT SPRING,73,,,,,,,
AK,57.781,-135.217,TENAKEE HOT SPRINGS,109,,,,,,,
AK,53.443,-168.092,THERMAL SPRINGS IN OKMOK CALDERA,212,,,,,,,
AK,65.274,-148.847,TOLOVANA HOT SPRINGS,140,,,,,,,
AK,66.197,-154.006,TUNALKTEN LAKE HOT SPRING, null null,,,,,,,
AK,56.667,-132.280,TWIN LAKES HOT SPRINGS,70,,,,,,,
AK,62.081,-145.007,UPPER KLAWASI WARM SPRINGS,86,,,,,,,
AK,57.831,-156.513,W UKINEK SPRING,178,,,,,,,
AK,66.383,-157.517,WARM SPRING NEAR PURCELL MOUNTAIN,68,,,,,,,
AK,57.807,-136.341,WHITE SULPHUR SPRINGS (HOONIAH H S),111,,,,,,,
AR,34.542,-93.024,BIG CHALYBEATE SPRING,79,,,,,,,
AR,34.384,-93.607,CADDO GAP SPRINGS,95,,,,,,,
AR,34.513,-93.053,HOT SPRINGS,147,,,,,,,
AR,34.406,-93.908,SPRING ON LITTLE MISSOURI RIVER,74,,,,,,,
AR,34.321,-93.739,SPRING ON REDLAND MOUNTAIN,77,,,,,,,
AR,36.480,-91.053,WARM SPRINGS,82,,,,,,,
